date | value


a 2012-02-02 | 1020
2012-02-02  a | 1030

b2012-02-03 | 1050
2012-02-03b | 1060

2012-02-04 | a1050
2012-02-04 | 1050a

2012-02-05 | b 1080
2012-02-05 | 1080 b

2009-02-01 | 4.8
2009-02-08 | 3.7
2009-02-12 | 3.9
2009-02-15 | 4.0
2011-02-05 | 2.8
2011-02-05 | 2
2011-02-05 | 1.1
2011-02-05 | 1.4
2011-02-10 | 1.2
2012-02-15 | 1
2012-12-20 | 1.5

2012-02-15 | -0.5
2012-02-15 | 950

2007-02-01 | 0.1

2012-00-15 | 1.1
2012-14-12 | 9
2012-02-00 | 1100
2012-02-33 | 1000
2022-02-05 | 1


2001-43-43
99999
